Items,PastVictim_Virus,PastVictim_DDoS,PastVictim_PerfTheft,PastVictim_APT,PastVictim_Sidechannel,PastVictim_Spam,PastVictim_CyBully,PastVictim_CyStalk,PastVictim_IDTheft,PastVictim_Ransomware,PastVictim_ShopScam,PastVictim_Scareware,PastVictim_Spyware,PastVictim_Phishing,PastVictim_Doxing,PastVictim_SocEng,PastVictim_SocMedHack,FutureVictim_Virus,FutureVictim_DDoS,FutureVictim_PerfTheft,FutureVictim_APT,FutureVictim_Sidechannel,FutureVictim_Spam,FutureVictim_CyBully,FutureVictim_CyStalk,FutureVictim_IDTheft,FutureVictim_Ransomware,FutureVictim_ShopScam,FutureVictim_Scareware,FutureVictim_Spyware,FutureVictim_Phishing,FutureVictim_Doxing,FutureVictim_SocEng,FutureVictim_SocMedHack
PastHelp_Manuf,0.13,0.22,0.19,0.23,0.22,0.1,0.16,0.18,0.15,0.11,0.13,0.16,0.2,0.2,0.21,0.18,0.19,0.2,0.26,0.22,0.21,0.24,0.16,0.17,0.16,0.18,0.18,0.16,0.19,0.16,0.21,0.19,0.21,0.25
PastHelp_Provider,0.09,0.21,0.18,0.21,0.21,0.0,0.09,0.14,0.1,0.1,0.07,0.15,0.15,0.11,0.19,0.19,0.13,0.13,0.19,0.14,0.19,0.21,0.0,0.07,0.12,0.09,0.11,0.08,0.12,0.1,0.16,0.11,0.15,0.14
PastHelp_ConsOffice,0.08,0.18,0.19,0.22,0.2,0.08,0.1,0.14,0.13,0.11,0.1,0.14,0.14,0.11,0.18,0.15,0.16,0.15,0.19,0.12,0.17,0.16,0.08,0.08,0.11,0.13,0.1,0.12,0.13,0.09,0.16,0.11,0.14,0.15
PastHelp_EmployerIT,0.15,0.27,0.3,0.32,0.29,0.1,0.2,0.23,0.24,0.14,0.18,0.23,0.22,0.18,0.28,0.28,0.21,0.19,0.22,0.22,0.22,0.19,0.16,0.18,0.2,0.2,0.16,0.2,0.22,0.16,0.16,0.2,0.15,0.22
PastHelp_PCShop,0.13,0.24,0.25,0.28,0.25,0.06,0.18,0.18,0.17,0.12,0.13,0.2,0.21,0.14,0.27,0.26,0.18,0.14,0.18,0.19,0.18,0.16,0.11,0.14,0.17,0.15,0.14,0.11,0.17,0.11,0.14,0.14,0.11,0.12
PastHelp_PublicMed,0.16,0.32,0.35,0.4,0.38,0.0,0.3,0.3,0.26,0.13,0.19,0.25,0.27,0.24,0.36,0.34,0.22,0.14,0.2,0.18,0.2,0.23,0.0,0.24,0.26,0.18,0.16,0.15,0.2,0.11,0.15,0.19,0.18,0.16
PastHelp_PrivateMed,0.17,0.33,0.37,0.43,0.4,0.0,0.28,0.3,0.27,0.13,0.2,0.27,0.29,0.23,0.36,0.35,0.23,0.11,0.2,0.2,0.21,0.23,0.0,0.22,0.23,0.15,0.14,0.16,0.19,0.13,0.14,0.21,0.18,0.14
PastHelp_Forum,0.15,0.24,0.22,0.27,0.24,0.07,0.16,0.18,0.15,0.11,0.13,0.14,0.2,0.15,0.22,0.23,0.15,0.11,0.19,0.14,0.15,0.16,0.1,0.14,0.14,0.14,0.11,0.15,0.13,0.16,0.12,0.14,0.11,0.16
PastHelp_IntExperts,0.18,0.28,0.31,0.36,0.32,0.07,0.23,0.28,0.23,0.15,0.18,0.19,0.2,0.2,0.3,0.32,0.22,0.15,0.21,0.19,0.18,0.16,0.09,0.19,0.21,0.17,0.15,0.16,0.17,0.1,0.13,0.17,0.15,0.15
PastHelp_Influencer,0.21,0.31,0.4,0.47,0.47,0.0,0.27,0.32,0.3,0.16,0.23,0.28,0.3,0.29,0.41,0.41,0.27,0.12,0.19,0.23,0.22,0.23,0.0,0.2,0.24,0.2,0.14,0.13,0.2,0.12,0.13,0.22,0.21,0.16
